"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_week)","Sessions (previous_week)","Sessions with cart additions (previous_week)","Sessions that reached checkout (previous_week)","Sessions that completed checkout (previous_week)","Conversion rate (previous_week)","Pageviews (previous_week)","Checkout conversion rate (previous_week)","Added to cart rate (previous_week)","Reached checkout rate (previous_week)","Sessions that reached and completed checkout (previous_week)","Average session duration (previous_week)","Pageviews per session (previous_week)","Bounce rate (previous_week)","Completed checkout rate (previous_week)","Bounces (previous_week)","Online store visitors (previous_week) ","Sessions (previous_week) ","Sessions with cart additions (previous_week) ","Sessions that reached checkout (previous_week) ","Sessions that completed checkout (previous_week) ","Conversion rate (previous_week) ","Pageviews (previous_week) ","Checkout conversion rate (previous_week) ","Added to cart rate (previous_week) ","Reached checkout rate (previous_week) ","Sessions that reached and completed checkout (previous_week) ","Average session duration (previous_week) ","Pageviews per session (previous_week) ","Bounce rate (previous_week) ","Completed checkout rate (previous_week) ","Bounces (previous_week) "
"Collection","/collections/asian-sex-doll",106,110,1,0,0,0,279,,0.00909090909090909,0,0,101.0909090909091,2.536363636363636,0.5909090909090909,,65,97,101,0,0,0,0,359,,0,0,0,139.96039603960395,3.5544554455445545,0.504950495049505,,51,9.278350515463918,8.910891089108912,,,,,-22.284122562674096,,,,,-27.7717754797551,-28.642694353000767,17.02317290552585,,27.45098039215686
"Product","/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass",95,103,3,0,0,0,358,,0.02912621359223301,0,0,153.98058252427185,3.4757281553398056,0.6116504854368932,,63,109,123,3,1,0,0,420,0,0.024390243902439025,0.008130081300813009,0,170.3008130081301,3.4146341463414633,0.6585365853658537,0,81,-12.844036697247706,-16.260162601626018,0,-100,,,-14.761904761904763,,19.41747572815534,-100,,-9.58317825709917,1.7891816920943096,-7.119741100323636,,-22.22222222222222
"Custom Page","/pages/sex-doll-gif",91,100,0,0,0,0,169,,0,0,0,37.61,1.69,0.74,,74,94,95,0,0,0,0,155,,0,0,0,41.6,1.631578947368421,0.7684210526315789,,73,-3.1914893617021276,5.2631578947368425,,,,,9.03225806451613,,,,,-9.591346153846159,3.5806451612903216,-3.6986301369862957,,1.36986301369863
"Blog Article","/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll",95,98,0,0,0,0,134,,0,0,0,48.204081632653065,1.3673469387755102,0.8673469387755102,,85,73,74,0,0,0,0,127,,0,0,0,77.89189189189189,1.7162162162162162,0.7972972972972973,,59,30.136986301369863,32.432432432432435,,,,,5.511811023622047,,,,,-38.11412142927954,-20.327816165836413,8.785887236250433,,44.067796610169495
"Collection","/collections/big-booty-sex-dolls",95,98,1,0,0,0,303,,0.01020408163265306,0,0,168.5204081632653,3.0918367346938775,0.45918367346938777,,45,69,71,0,0,0,0,334,,0,0,0,240.01408450704224,4.704225352112676,0.38028169014084506,,27,37.68115942028985,38.028169014084504,,,,,-9.281437125748504,,,,,-29.787283729875966,-34.27532689722595,20.748299319727895,,66.66666666666667
"Collection","/collections/torso-dildo",95,96,0,0,0,0,308,,0,0,0,159.89583333333334,3.2083333333333335,0.5625,,54,85,90,0,0,0,0,220,,0,0,0,119.74444444444444,2.4444444444444446,0.5555555555555556,,50,11.764705882352942,6.666666666666667,,,,,40,,,,,33.530899137051144,31.249999999999996,1.2499999999999956,,8
,"/de/collections/robotic-sex-doll",87,96,0,0,0,0,233,,0,0,0,115.625,2.4270833333333335,0.6145833333333334,,59,62,64,0,0,0,0,268,,0,0,0,244.640625,4.1875,0.453125,,29,40.32258064516129,50,,,,,-13.059701492537313,,,,,-52.7367950437504,-42.039800995024876,35.63218390804598,,103.44827586206897
"Collection","/collections/animal-hentai-sex-doll",87,90,0,0,0,0,304,,0,0,0,101.23333333333333,3.3777777777777778,0.5,,45,76,77,0,0,0,0,252,,0,0,0,129.4025974025974,3.272727272727273,0.5844155844155844,,45,14.473684210526315,16.883116883116884,,,,,20.634920634920636,,,,,-21.768700655693824,3.20987654320987,-14.44444444444444,,0
"Collection","/collections/silicone-ass",84,85,2,2,1,0.011764705882352941,357,0.5,0.023529411764705882,0.023529411764705882,1,205.98823529411766,4.2,0.47058823529411764,0.5,40,82,87,2,2,0,0,258,0,0.022988505747126436,0.022988505747126436,0,96.58620689655173,2.9655172413793105,0.5402298850574713,0,47,2.4390243902439024,-2.2988505747126435,0,0,,,38.372093023255815,,2.3529411764705883,2.3529411764705883,,113.268790557994,41.627906976744185,-12.891113892365459,,-14.893617021276595
"Collection","/collections/lesbian-sex-doll-torso",83,84,1,0,0,0,161,,0.011904761904761904,0,0,77.69047619047619,1.9166666666666667,0.7023809523809523,,59,73,79,1,0,0,0,122,,0.012658227848101266,0,0,51.30379746835443,1.5443037974683544,0.7215189873417721,,57,13.698630136986301,6.329113924050633,0,,,,31.9672131147541,,-5.952380952380955,,,51.43221364538907,24.1120218579235,-2.6524644945697595,,3.508771929824561
