# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/en-ca/collections/furry-sex-doll,267,88,3.034090909090909,45.68181818181818,861,87,0
/products/t682-15-5lbsucking-vibration-ass-sex-doll-torso,265,229,1.1572052401746724,50.0174672489083,1220,36,0
/pages/sex-doll-gif,264,309,0.8543689320388349,21.158576051779935,1665,70,0
/products/588-16-09lbsex-doll-torso-with-fully-automatic-cleaning-sucking-and-vibration-pussy,262,219,1.1963470319634704,57.602739726027394,1263,62,0
/collections/enchanting-delights-2024-top-real-sex-doll-recommendations,260,91,2.857142857142857,62.62637362637363,799,129,0
/products/f2385-163cm5-3ft-g-cup-138-bbw-big-butt-tpe-sex-doll丨sy-doll,259,224,1.15625,54.473214285714285,1173,42,0
/products/t205-61-28lb-68cmolivier-luxury-curvy-torso-doll,257,125,2.056,58,1205,41,0
/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll,254,253,1.0039525691699605,62.762845849802375,1521,28,0
/collections/sex-doll-anal,254,132,1.9242424242424243,30.75,997,95,0
/collections/se-doll,253,50,5.06,76.86,608,74,0
/collections/black-sex-doll-premium,252,82,3.073170731707317,43.86585365853659,728,135,0
/collections/electric-pocket-pussy,252,133,1.894736842105263,36.090225563909776,875,76,0
/collections/funwest-doll,252,76,3.3157894736842106,49.05263157894737,720,111,0
/collections/latina-sex-dolls,247,57,4.333333333333333,65.19298245614036,729,160,0
/collections/asia-sex-doll-heads-2,246,84,2.9285714285714284,49.73809523809524,642,75,0
/collections/doll-senior,245,99,2.474747474747475,44.13131313131313,754,127,0
/collections/mrl-doll,243,84,2.892857142857143,39.38095238095238,758,70,0
/products/a599-83lb-coco-sucking-doggy-style-bbw-big-booty-sex-doll-torso-luxury-realistic-biggest-ass-sex-toy,243,232,1.0474137931034482,42.76724137931034,1173,55,0
/products/f2319-163cm5-4ft-g-cup-m12-super-fat-bbw-movable-jaw-head-sex-doll丨sy-doll,243,212,1.1462264150943395,68.39622641509433,1260,146,0
/collections/starpery-doll,242,70,3.4571428571428573,56.05714285714286,718,126,0
/collections/new-sex-dolls-2023-05,240,45,5.333333333333333,89.66666666666667,522,56,0
/collections/climax-doll,238,56,4.25,76.66071428571429,492,49,0
