"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260525)","Sessions (20260525)","Sessions with cart additions (20260525)","Sessions that reached checkout (20260525)","Sessions that completed checkout (20260525)","Conversion rate (20260525)","Pageviews (20260525)","Checkout conversion rate (20260525)","Added to cart rate (20260525)","Reached checkout rate (20260525)","Sessions that reached and completed checkout (20260525)","Average session duration (20260525)","Pageviews per session (20260525)","Bounce rate (20260525)","Completed checkout rate (20260525)","Bounces (20260525)","Online store visitors (20260525) ","Sessions (20260525) ","Sessions with cart additions (20260525) ","Sessions that reached checkout (20260525) ","Sessions that completed checkout (20260525) ","Conversion rate (20260525) ","Pageviews (20260525) ","Checkout conversion rate (20260525) ","Added to cart rate (20260525) ","Reached checkout rate (20260525) ","Sessions that reached and completed checkout (20260525) ","Average session duration (20260525) ","Pageviews per session (20260525) ","Bounce rate (20260525) ","Completed checkout rate (20260525) ","Bounces (20260525) "
"Collection","/collections/hentai-sex-dolls-connecting-fantasy-to-reality",45,46,1,0,0,0,224,,0.021739130434782608,0,0,225.6304347826087,4.869565217391305,0.6521739130434783,,30,45,46,1,0,0,0,224,,0.021739130434782608,0,0,225.6304347826087,4.869565217391305,0.6521739130434783,,30,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/alien-sex-dolls",46,46,0,0,0,0,218,,0,0,0,252.1304347826087,4.739130434782608,0.5217391304347826,,24,46,46,0,0,0,0,218,,0,0,0,252.1304347826087,4.739130434782608,0.5217391304347826,,24,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/petite-sex-doll",44,45,0,0,0,0,96,,0,0,0,63.577777777777776,2.1333333333333333,0.6444444444444445,,29,44,45,0,0,0,0,96,,0,0,0,63.577777777777776,2.1333333333333333,0.6444444444444445,,29,0,0,,,,,0,,,,,0,0,0,,0
"List of Collections","/collections/vendors",37,43,2,2,0,0,139,0,0.046511627906976744,0.046511627906976744,0,60.2093023255814,3.2325581395348837,0.5581395348837209,0,24,37,43,2,2,0,0,139,0,0.046511627906976744,0.046511627906976744,0,60.2093023255814,3.2325581395348837,0.5581395348837209,0,24,0,0,0,0,,,0,,0,0,,0,0,0,,0
,"/en-ca/collections/celebrity-sex-dolls",39,43,0,0,0,0,161,,0,0,0,77,3.744186046511628,0.4418604651162791,,19,39,43,0,0,0,0,161,,0,0,0,77,3.744186046511628,0.4418604651162791,,19,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/life-size-anime-sex-doll",41,42,0,0,0,0,259,,0,0,0,259.64285714285717,6.166666666666667,0.21428571428571427,,9,41,42,0,0,0,0,259,,0,0,0,259.64285714285717,6.166666666666667,0.21428571428571427,,9,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca",39,42,6,4,1,0.023809523809523808,403,0.25,0.14285714285714285,0.09523809523809523,1,672.5952380952381,9.595238095238095,0.2857142857142857,0.25,12,39,42,6,4,1,0.023809523809523808,403,0.25,0.14285714285714285,0.09523809523809523,1,672.5952380952381,9.595238095238095,0.2857142857142857,0.25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cart","/cart",28,42,8,4,1,0.023809523809523808,354,0.25,0.19047619047619047,0.09523809523809523,1,557.7142857142857,8.428571428571429,0.5476190476190477,0.25,23,28,42,8,4,1,0.023809523809523808,354,0.25,0.19047619047619047,0.09523809523809523,1,557.7142857142857,8.428571428571429,0.5476190476190477,0.25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"/en-ca/collections/vajankle-foot-fetish-toys",40,41,0,0,0,0,153,,0,0,0,180.14634146341464,3.731707317073171,0.34146341463414637,,14,40,41,0,0,0,0,153,,0,0,0,180.14634146341464,3.731707317073171,0.34146341463414637,,14,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/ai-sex-doll",40,40,1,0,0,0,82,,0.025,0,0,141.825,2.05,0.725,,29,40,40,1,0,0,0,82,,0.025,0,0,141.825,2.05,0.725,,29,0,0,0,,,,0,,0,,,0,0,0,,0
