"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Collection","/collections/flat-chest-sex-doll",81,88,0,0,0,0,278,,0,0,0,190.1931818181818,3.159090909090909,0.48863636363636365,,43,72,73,0,0,0,0,223,,0,0,0,156.43835616438355,3.0547945205479454,0.5342465753424658,,39,12.5,20.54794520547945,,,,,24.663677130044842,,,,,21.577077694634617,3.414186710150831,-8.53729603729604,,10.256410256410257
"Product","/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass",83,87,1,0,0,0,309,,0.011494252873563218,0,0,154.3448275862069,3.5517241379310347,0.5172413793103449,,45,68,70,1,1,0,0,223,0,0.014285714285714285,0.014285714285714285,0,162.31428571428572,3.1857142857142855,0.4714285714285714,0,33,22.058823529411764,24.285714285714285,0,-100,,,38.56502242152467,,-19.54022988505747,-100,,-4.909893231521896,11.48909850007733,9.717868338558004,,36.36363636363637
"Collection","/collections/lesbian-sex-doll-torso",84,87,1,1,1,0.011494252873563218,171,1,0.011494252873563218,0.011494252873563218,1,88.94252873563218,1.9655172413793103,0.6781609195402298,1,59,68,68,0,0,0,0,145,,0,0,0,68.30882352941177,2.1323529411764706,0.6617647058823529,,45,23.529411764705884,27.941176470588236,,,,,17.93103448275862,,,,,30.20650062482213,-7.824019024970276,2.477650063856956,,31.11111111111111
"Custom Page","/pages/sex-doll-gif",83,84,0,0,0,0,139,,0,0,0,21.44047619047619,1.6547619047619047,0.8571428571428571,,72,78,78,0,0,0,0,160,,0,0,0,42.11538461538461,2.051282051282051,0.7307692307692307,,57,6.410256410256411,7.6923076923076925,,,,,-13.125,,,,,-49.091106762339635,-19.33035714285714,17.293233082706767,,26.31578947368421
"Collection","/collections/teen-sex-dolls",81,83,0,0,0,0,195,,0,0,0,81.97590361445783,2.3493975903614457,0.6626506024096386,,55,27,31,0,0,0,0,52,,0,0,0,29.032258064516128,1.6774193548387097,0.8387096774193549,,26,200,167.74193548387098,,,,,275,,,,,182.36144578313252,40.06024096385541,-20.991658943466174,,111.53846153846153
"Collection","/collections/silicone-ass",77,80,1,0,0,0,240,,0.0125,0,0,145.8125,3,0.5125,,41,80,81,1,1,0,0,254,0,0.012345679012345678,0.012345679012345678,0,142.5679012345679,3.1358024691358026,0.5925925925925926,0,48,-3.75,-1.2345679012345678,0,-100,,,-5.511811023622047,,1.2500000000000113,-100,,2.275826983027366,-4.330708661417328,-13.515625000000002,,-14.583333333333334
"Collection","/collections/huge-breasts-sex-dolls",78,79,1,1,1,0.012658227848101266,283,1,0.012658227848101266,0.012658227848101266,1,194.81012658227849,3.5822784810126582,0.4177215189873418,1,33,79,80,0,0,0,0,307,,0,0,0,166.9125,3.8375,0.5,,40,-1.2658227848101267,-1.25,,,,,-7.817589576547231,,,,,16.713922913070316,-6.650723621819979,-16.455696202531644,,-17.5
"Collection","/collections/animal-hentai-sex-doll",72,74,0,0,0,0,244,,0,0,0,105.62162162162163,3.2972972972972974,0.5,,37,60,60,0,0,0,0,187,,0,0,0,84.35,3.1166666666666667,0.4,,24,20,23.333333333333332,,,,,30.481283422459892,,,,,25.21828289463146,5.795635207399915,24.999999999999993,,54.166666666666664
"Collection","/collections/chinese-sex-doll",67,74,2,0,0,0,202,,0.02702702702702703,0,0,148.35135135135135,2.72972972972973,0.6486486486486487,,48,48,54,0,0,0,0,187,,0,0,0,178.22222222222223,3.462962962962963,0.6666666666666666,,36,39.583333333333336,37.03703703703704,,,,,8.02139037433155,,,,,-16.760463705600866,-21.1735799971094,-2.702702702702692,,33.333333333333336
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",68,68,0,0,0,0,85,,0,0,0,2.764705882352941,1.25,0.9117647058823529,,62,399,402,0,0,0,0,526,,0,0,0,20.888059701492537,1.308457711442786,0.9104477611940298,,366,-82.95739348370927,-83.08457711442786,,,,,-83.8403041825095,,,,,-86.76418048462686,-4.467680608365014,0.14464802314368555,,-83.06010928961749
"Collection","/collections/under-100",64,67,2,0,0,0,272,,0.029850746268656716,0,0,213.955223880597,4.059701492537314,0.5223880597014925,,35,45,45,0,0,0,0,129,,0,0,0,66.73333333333333,2.8666666666666667,0.6222222222222222,,28,42.22222222222222,48.888888888888886,,,,,110.85271317829458,,,,,220.61222359729823,41.61749392572024,-16.044776119402993,,25
"Collection","/collections/mini-sex-doll",63,66,1,1,0,0,160,0,0.015151515151515152,0.015151515151515152,0,115.46969696969697,2.4242424242424243,0.5606060606060606,0,37,73,76,0,0,0,0,186,,0,0,0,53.63157894736842,2.4473684210526314,0.5921052631578947,,45,-13.698630136986301,-13.157894736842104,,,,,-13.978494623655914,,,,,115.30169209266364,-0.9449332029977098,-5.319865319865322,,-17.77777777777778
"Collection","/collections/mini-sex-doll-torso",62,62,1,1,0,0,134,0,0.016129032258064516,0.016129032258064516,0,173.70967741935485,2.161290322580645,0.5967741935483871,0,37,57,59,0,0,0,0,172,,0,0,0,173.76271186440678,2.9152542372881354,0.5932203389830508,,35,8.771929824561404,5.084745762711864,,,,,-22.093023255813954,,,,,-0.030521188627235383,-25.86271567891973,0.5990783410138336,,5.714285714285714
"Product","/products/a664-37-5lb-silicone-butt-sexy-and-real-realistic-big-ass-sex-doll-torso",53,61,0,0,0,0,89,,0,0,0,32.16393442622951,1.459016393442623,0.8688524590163934,,53,22,27,2,2,0,0,74,0,0.07407407407407407,0.07407407407407407,0,141.03703703703704,2.740740740740741,0.5925925925925926,0,16,140.9090909090909,125.92592592592592,-100,-100,,,20.27027027027027,,-100,-100,,-77.19468935115029,-46.765618077093485,46.618852459016395,,231.25
"Collection","/collections/silicone-pocket-pussy",60,60,0,0,0,0,100,,0,0,0,40.766666666666666,1.6666666666666667,0.6833333333333333,,41,76,77,1,1,0,0,302,0,0.012987012987012988,0.012987012987012988,0,125.74025974025975,3.9220779220779223,0.6233766233766234,0,48,-21.05263157894737,-22.07792207792208,-100,-100,,,-66.88741721854305,,-99.99999999999999,-99.99999999999999,,-67.5786683192178,-57.5055187637969,9.61805555555556,,-14.583333333333334
"Collection","/collections/life-size-shemale-sex-doll",60,60,0,0,0,0,173,,0,0,0,125.58333333333333,2.8833333333333333,0.4666666666666667,,28,63,64,1,0,0,0,235,,0.015625,0,0,200.078125,3.671875,0.375,,24,-4.761904761904762,-6.25,-100,,,,-26.382978723404257,,-100,,,-37.23285175061825,-21.47517730496454,24.444444444444446,,16.666666666666668
