"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Pageviews","Checkout conversion rate","Added to cart rate","Reached checkout rate","Sessions that reached and completed checkout","Average session duration","Pageviews per session","Bounce rate","Completed checkout rate","Bounces","Online store visitors (20260511)","Sessions (20260511)","Sessions with cart additions (20260511)","Sessions that reached checkout (20260511)","Sessions that completed checkout (20260511)","Conversion rate (20260511)","Pageviews (20260511)","Checkout conversion rate (20260511)","Added to cart rate (20260511)","Reached checkout rate (20260511)","Sessions that reached and completed checkout (20260511)","Average session duration (20260511)","Pageviews per session (20260511)","Bounce rate (20260511)","Completed checkout rate (20260511)","Bounces (20260511)","Online store visitors (20260511) ","Sessions (20260511) ","Sessions with cart additions (20260511) ","Sessions that reached checkout (20260511) ","Sessions that completed checkout (20260511) ","Conversion rate (20260511) ","Pageviews (20260511) ","Checkout conversion rate (20260511) ","Added to cart rate (20260511) ","Reached checkout rate (20260511) ","Sessions that reached and completed checkout (20260511) ","Average session duration (20260511) ","Pageviews per session (20260511) ","Bounce rate (20260511) ","Completed checkout rate (20260511) ","Bounces (20260511) "
"Collection","/collections/ros-sex-doll-heads-1",53,53,2,2,0,0,210,0,0.03773584905660377,0.03773584905660377,0,199.30188679245282,3.9622641509433962,0.5283018867924528,0,28,53,53,2,2,0,0,210,0,0.03773584905660377,0.03773584905660377,0,199.30188679245282,3.9622641509433962,0.5283018867924528,0,28,0,0,0,0,,,0,,0,0,,0,0,0,,0
,"/en-ca/collections/sex-doll-head",50,51,4,1,0,0,252,0,0.0784313725490196,0.0196078431372549,0,184.23529411764707,4.9411764705882355,0.27450980392156865,0,14,50,51,4,1,0,0,252,0,0.0784313725490196,0.0196078431372549,0,184.23529411764707,4.9411764705882355,0.27450980392156865,0,14,0,0,0,0,,,0,,0,0,,0,0,0,,0
"List of Collections","/collections/vendors",44,49,2,2,0,0,109,0,0.04081632653061224,0.04081632653061224,0,34.142857142857146,2.2244897959183674,0.6326530612244898,0,31,44,49,2,2,0,0,109,0,0.04081632653061224,0.04081632653061224,0,34.142857142857146,2.2244897959183674,0.6326530612244898,0,31,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/silicone-pocket-pussy",47,48,1,0,0,0,159,,0.020833333333333332,0,0,77.1875,3.3125,0.5625,,27,47,48,1,0,0,0,159,,0.020833333333333332,0,0,77.1875,3.3125,0.5625,,27,0,0,0,,,,0,,0,,,0,0,0,,0
"Product","/products/t901-21-51lb-c-cup-7-08-dildo-electric-shemale-big-penis-male-female-sex-doll-torso-adult-toys",47,47,0,0,0,0,47,,0,0,0,0,1,1,,47,47,47,0,0,0,0,47,,0,0,0,0,1,1,,47,0,0,,,,,0,,,,,,0,0,,0
"Collection","/collections/torso-dildo",46,46,0,0,0,0,80,,0,0,0,82.58695652173913,1.7391304347826086,0.6956521739130435,,32,46,46,0,0,0,0,80,,0,0,0,82.58695652173913,1.7391304347826086,0.6956521739130435,,32,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/bbw-sex-doll-torso",44,45,1,1,0,0,146,0,0.022222222222222223,0.022222222222222223,0,98.5111111111111,3.2444444444444445,0.5333333333333333,0,24,44,45,1,1,0,0,146,0,0.022222222222222223,0.022222222222222223,0,98.5111111111111,3.2444444444444445,0.5333333333333333,0,24,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/torso-shemale-sex-doll",44,44,1,0,0,0,113,,0.022727272727272728,0,0,156.27272727272728,2.5681818181818183,0.4772727272727273,,21,44,44,1,0,0,0,113,,0.022727272727272728,0,0,156.27272727272728,2.5681818181818183,0.4772727272727273,,21,0,0,0,,,,0,,0,,,0,0,0,,0
,"/en-ca/collections/vajankle-foot-fetish-toys",43,43,0,0,0,0,123,,0,0,0,152.06976744186048,2.86046511627907,0.4418604651162791,,19,43,43,0,0,0,0,123,,0,0,0,152.06976744186048,2.86046511627907,0.4418604651162791,,19,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/black-male-sex-doll",39,42,0,0,0,0,111,,0,0,0,227.42857142857142,2.642857142857143,0.4523809523809524,,19,39,42,0,0,0,0,111,,0,0,0,227.42857142857142,2.642857142857143,0.4523809523809524,,19,0,0,,,,,0,,,,,0,0,0,,0
