# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260401
# 结束日期：20260430
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入,平均会话时长,跳出率,加入购物车的商品数,结账次数
/collections/gaming-celebrities,361,130,2.776923076923077,35.48461538461538,960,124,0,53.60493205970149,0.04477611940298507,0,0
/collections/in-stock-usa-1,360,167,2.155688622754491,65.98203592814372,1451,190,0,110.48288421634615,0.014423076923076924,0,0
/collections/silicone-torso,340,75,4.533333333333333,80.25333333333333,886,136,0,156.7663941234568,0.024691358024691357,0,0
/products/f9267-161cm5ft3-41-5kg-h-cup-huge-breast-adult-silicone-sex-doll-bbw-starpery-doll,340,270,1.2592592592592593,57.31481481481482,1571,113,0,75.23294457093427,0.031141868512110725,10,0
/collections/fat-sex-doll,338,116,2.913793103448276,54.025862068965516,960,147,0,89.33910215126049,0.08403361344537816,1,0
/collections/life-size-ass,322,110,2.9272727272727272,43.70909090909091,971,150,0,86.62238894736842,0.05263157894736842,0,0
/collections/saggy-huge-breast-sex-doll,319,110,2.9,46.90909090909091,1139,195,0,87.11333580508474,0.07627118644067797,0,0
/products/a499-bbw-big-booty-silicone-sex-doll-torso,318,247,1.2874493927125505,54.88259109311741,1566,84,0,109.15573120905924,0.05226480836236934,9,0
/collections/bezlya,316,76,4.157894736842105,75.67105263157895,928,206,0,126.8309711263158,0.11578947368421053,0,0
/collections/full-round-huge-breast-sex-doll,316,105,3.0095238095238095,36.32380952380952,966,179,0,76.17044271296297,0.027777777777777776,0,0
/pages/sex-doll-gif,311,353,0.8810198300283286,21.762039660056658,1989,109,0,60.61787479255319,0.35638297872340424,0,0
/en-ca/collections/all,310,120,2.5833333333333335,36.63333333333333,1033,137,0,77.35769320325204,0.17886178861788618,0,0
/en-ca/collections/celebrity-sex-dolls,308,111,2.774774774774775,42.45945945945946,962,132,0,117.25658206722689,0.11764705882352941,0,0
/collections/big-boobs-sex-dolls,296,82,3.6097560975609757,62.74390243902439,785,115,0,107.52622289534884,0.09302325581395349,0,0
/collections/enchanting-delights-2024-top-real-sex-doll-recommendations,296,111,2.6666666666666665,42.747747747747745,872,92,0,74.07548866956522,0.1565217391304348,0,0
/collections/huge-tits-sex-doll,295,86,3.4302325581395348,47.47674418604651,893,116,0,97.66228643333332,0.2222222222222222,0,0
/collections/anime-alien-sex-doll,293,103,2.8446601941747574,50.57281553398058,876,115,0,90.86809792380953,0.0380952380952381,0,0
/collections/cheap-sex-doll,293,130,2.253846153846154,33.96153846153846,905,102,0,107.80154179259259,0.1037037037037037,0,0
/en-ca,289,160,1.80625,25.275,1270,204,0,47.69252823383085,0.16417910447761194,0,0
/collections/europe-sex-doll-heads-1,282,74,3.810810810810811,49.2972972972973,589,76,0,73.74516093506494,0.03896103896103896,0,0
/collections/anime-banner,279,75,3.72,48.29333333333334,714,98,0,79.68173328205127,0.038461538461538464,0,0
/products/a303-11lb-silicone-big-butt-torso-realistic-lightweight,276,222,1.2432432432432432,40.66216216216216,1270,64,0,75.25342191914893,0,10,0
/collections/climax-doll-videos,272,132,2.0606060606060606,71.3409090909091,1192,209,0,140.22552204316545,0.02158273381294964,0,0
/collections/asia-sex-doll-heads,270,58,4.655172413793103,50.08620689655172,568,56,0,66.98649732307692,0.015384615384615385,0,0
/en-ca/collections/sex-doll-torso,269,64,4.203125,78.375,631,84,0,110.88174366666667,0.10144927536231885,0,0
/collections/doll-senior,268,92,2.9130434782608696,52.641304347826086,923,175,0,78.35993835779816,0.01834862385321101,0,0
/collections/pocket-pussy,266,61,4.360655737704918,43.032786885245905,609,40,0,81.47069992063491,0.30158730158730157,0,0
/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll,261,259,1.0077220077220077,52.13127413127413,1544,26,0,99.92326134065934,0.2087912087912088,0,0
/collections/mini-flat-chest-sex-doll,258,106,2.4339622641509435,33.113207547169814,840,73,0,116.13451947368421,0.19298245614035087,0,0
/collections/monster-hentai-sex-doll,257,77,3.3376623376623376,41.922077922077925,773,119,0,85.88631125,0.09090909090909091,0,0
/collections/latina-sex-dolls,249,93,2.6774193548387095,40.075268817204304,711,75,0,93.49923421568627,0.2549019607843137,0,0
/products/f7626-163cm5-3ft-e-cup-great-huge-butt-tpe-body-silicone-head-sex-doll-for-men丨sy-doll,246,204,1.2058823529411764,68.32843137254902,1216,93,0,94.76025446153847,0.03418803418803419,10,0
/collections/elsa-babe,244,42,5.809523809523809,71.19047619047619,570,83,0,100.24081268333333,0.03333333333333333,0,0
/collections/fantasy-sex-doll-heads,244,113,2.15929203539823,36.78761061946903,770,82,0,82.83941505645161,0.03225806451612903,0,0
/collections/100-299,238,49,4.857142857142857,71.53061224489795,506,65,0,87.22052558490566,0.018867924528301886,0,0
/collections/blonde-sex-dolls,238,54,4.407407407407407,94.88888888888889,560,87,0,180.31788744642856,0.17857142857142858,0,0
/collections/life-sized-sex-doll,237,62,3.8225806451612905,52.145161290322584,557,38,0,109.15478316901408,0.15492957746478872,0,0
/collections/black-sex-doll-premium,235,74,3.175675675675676,49.4054054054054,745,132,0,60.81156851282052,0.02564102564102564,0,0
/collections/electric-pocket-pussy,233,116,2.0086206896551726,28.974137931034484,818,75,0,62.433811544715454,0.14634146341463414,0,0
/collections/black-male-sex-doll,231,104,2.2211538461538463,44.07692307692308,878,70,0,126.22535262037037,0.14814814814814814,0,0
/products/v26-vajancle-silicone-right-feet,230,217,1.0599078341013826,24.08294930875576,1063,31,0,66.37381813278009,0.0954356846473029,0,0
/collections/anime-sex-doll-head,228,108,2.111111111111111,26.185185185185187,604,51,0,35.12219850458715,0.009174311926605505,0,0
/en-ca/collections/huge-breasts-sex-dolls,228,44,5.181818181818182,88.43181818181819,603,84,0,244.71569257446808,0.0851063829787234,0,0
/en-ca/collections/robotic-sex-doll,227,152,1.493421052631579,21.13157894736842,978,102,0,65.22509594230769,0.22435897435897437,0,0
